Numero de documentos: 15397 
Numero de palabras del corpus: 9546
Palabra: unknow Frec: 27656 LogProb: 0.3706094613409168
Palabra: #coronavirus Frec: 4 LogProb: -8.247586765691686
Palabra: #covid2019 Frec: 3 LogProb: -8.470730317005897
Palabra: #covid_19 Frec: 3 LogProb: -8.470730317005897
Palabra: #usa Frec: 3 LogProb: -8.470730317005897
Palabra: a. Frec: 4 LogProb: -8.247586765691686
Palabra: a.m. Frec: 6 LogProb: -7.911114529070474
Palabra: a2 Frec: 2 LogProb: -8.758412389457677
Palabra: aaa Frec: 4 LogProb: -8.247586765691686
Palabra: aapl Frec: 3 LogProb: -8.470730317005897
Palabra: ab Frec: 8 LogProb: -7.6598001007895675
Palabra: abandon Frec: 13 LogProb: -7.217967348510529
Palabra: abate Frec: 3 LogProb: -8.470730317005897
Palabra: abc Frec: 11 LogProb: -7.372118028337787
Palabra: abeg Frec: 3 LogProb: -8.470730317005897
Palabra: abhealth Frec: 2 LogProb: -8.758412389457677
Palabra: abhijit Frec: 3 LogProb: -8.470730317005897
Palabra: abide Frec: 4 LogProb: -8.247586765691686
Palabra: ability Frec: 12 LogProb: -7.29207532066425
Palabra: able Frec: 145 LogProb: -4.87341805641745
Palabra: ableg Frec: 2 LogProb: -8.758412389457677
Palabra: ableism Frec: 2 LogProb: -8.758412389457677
Palabra: abortion Frec: 3 LogProb: -8.470730317005897
Palabra: abou Frec: 2 LogProb: -8.758412389457677
Palabra: abound Frec: 3 LogProb: -8.470730317005897
Palabra: abroad Frec: 6 LogProb: -7.911114529070474
Palabra: abrupt Frec: 3 LogProb: -8.470730317005897
Palabra: absence Frec: 5 LogProb: -8.065265208897733
Palabra: absent Frec: 5 LogProb: -8.065265208897733
Palabra: absolute Frec: 33 LogProb: -6.330664153509626
Palabra: absolutely Frec: 77 LogProb: -5.500315851436196
Palabra: absorb Frec: 4 LogProb: -8.247586765691686
Palabra: absurd Frec: 11 LogProb: -7.372118028337787
Palabra: absurdity Frec: 2 LogProb: -8.758412389457677
Palabra: abt Frec: 7 LogProb: -7.777583136445951
Palabra: abudhabi Frec: 2 LogProb: -8.758412389457677
Palabra: abuja Frec: 5 LogProb: -8.065265208897733
Palabra: abundance Frec: 2 LogProb: -8.758412389457677
Palabra: abuse Frec: 60 LogProb: -5.746150813952476
Palabra: abusive Frec: 6 LogProb: -7.911114529070474
Palabra: ac Frec: 3 LogProb: -8.470730317005897
Palabra: aca Frec: 4 LogProb: -8.247586765691686
Palabra: accc Frec: 5 LogProb: -8.065265208897733
Palabra: accelerate Frec: 26 LogProb: -6.561187812121458
Palabra: accelerator Frec: 2 LogProb: -8.758412389457677
Palabra: accept Frec: 22 LogProb: -6.721530462196637
Palabra: acceptable Frec: 3 LogProb: -8.470730317005897
Palabra: access Frec: 124 LogProb: -5.028710940823486
Palabra: accessibility Frec: 3 LogProb: -8.470730317005897
Palabra: accessible Frec: 5 LogProb: -8.065265208897733
Palabra: accessory Frec: 2 LogProb: -8.758412389457677
Palabra: accident Frec: 5 LogProb: -8.065265208897733
Palabra: accidental Frec: 6 LogProb: -7.911114529070474
Palabra: accidentally Frec: 4 LogProb: -8.247586765691686
Palabra: accommodate Frec: 2 LogProb: -8.758412389457677
Palabra: accommodation Frec: 8 LogProb: -7.6598001007895675
