Numero de documentos: 18046 
Numero de palabras del corpus: 10553
Palabra: unknow Frec: 26649 LogProb: -0.5832736824399137
Palabra: #coronavirus Frec: 9 LogProb: -8.47123301903986
Palabra: #stockpilinguk Frec: 2 LogProb: -9.675205823365795
Palabra: #toiletpaper Frec: 2 LogProb: -9.675205823365795
Palabra: a. Frec: 6 LogProb: -8.82790796297859
Palabra: a.m. Frec: 7 LogProb: -8.694376570354068
Palabra: aalto Frec: 2 LogProb: -9.675205823365795
Palabra: aaron Frec: 5 LogProb: -8.98205864280585
Palabra: ab Frec: 2 LogProb: -9.675205823365795
Palabra: abbott Frec: 2 LogProb: -9.675205823365795
Palabra: abc Frec: 4 LogProb: -9.164380199599805
Palabra: abdul Frec: 3 LogProb: -9.387523750914013
Palabra: abeokuta Frec: 3 LogProb: -9.387523750914013
Palabra: abide Frec: 7 LogProb: -8.694376570354068
Palabra: abideth Frec: 2 LogProb: -9.675205823365795
Palabra: ability Frec: 36 LogProb: -7.16290019938968
Palabra: able Frec: 213 LogProb: -5.407842097012053
Palabra: abnormal Frec: 4 LogProb: -9.164380199599805
Palabra: abourezk Frec: 2 LogProb: -9.675205823365795
Palabra: abroad Frec: 5 LogProb: -8.98205864280585
Palabra: abrupt Frec: 2 LogProb: -9.675205823365795
Palabra: abs Frec: 2 LogProb: -9.675205823365795
Palabra: absence Frec: 4 LogProb: -9.164380199599805
Palabra: absolute Frec: 24 LogProb: -7.554942287165703
Palabra: absolutely Frec: 41 LogProb: -7.036148493750536
Palabra: absorb Frec: 2 LogProb: -9.675205823365795
Palabra: absorbent Frec: 2 LogProb: -9.675205823365795
Palabra: absurd Frec: 4 LogProb: -9.164380199599805
Palabra: abt Frec: 10 LogProb: -8.375922839235534
Palabra: abudhabi Frec: 2 LogProb: -9.675205823365795
Palabra: abuja Frec: 7 LogProb: -8.694376570354068
Palabra: abundance Frec: 4 LogProb: -9.164380199599805
Palabra: abundant Frec: 5 LogProb: -8.98205864280585
Palabra: abuse Frec: 14 LogProb: -8.065767910931694
Palabra: aca Frec: 2 LogProb: -9.675205823365795
Palabra: academic Frec: 8 LogProb: -8.576593534697684
Palabra: academy Frec: 5 LogProb: -8.98205864280585
Palabra: acc Frec: 4 LogProb: -9.164380199599805
Palabra: accc Frec: 5 LogProb: -8.98205864280585
Palabra: accelerant Frec: 2 LogProb: -9.675205823365795
Palabra: accelerate Frec: 28 LogProb: -7.406522282047431
Palabra: accept Frec: 55 LogProb: -6.7484664212987555
Palabra: acceptable Frec: 12 LogProb: -8.208868754572368
Palabra: acceptance Frec: 8 LogProb: -8.576593534697684
Palabra: access Frec: 182 LogProb: -5.564331959192484
Palabra: accessibility Frec: 2 LogProb: -9.675205823365795
Palabra: accessible Frec: 12 LogProb: -8.208868754572368
Palabra: accessories Frec: 4 LogProb: -9.164380199599805
Palabra: accessory Frec: 5 LogProb: -8.98205864280585
Palabra: accident Frec: 2 LogProb: -9.675205823365795
Palabra: accidental Frec: 2 LogProb: -9.675205823365795
Palabra: accommodate Frec: 7 LogProb: -8.694376570354068
